game_id,season,week,gameday,recorded,source,p_logistic,p_logistic_blitz,p_vegas
2026_05_LV_NE,2026,5,2026-10-11,2026-09-21 18:18,live,0.7032247391889631,0.7083466770107318,
2026_05_MIN_NO,2026,5,2026-10-11,2026-09-21 18:18,live,0.4994097537869965,0.4707554781608224,
2026_05_NYG_WAS,2026,5,2026-10-11,2026-09-21 18:18,live,0.5424988409767589,0.5013279971392319,
2026_05_PHI_JAX,2026,5,2026-10-11,2026-09-21 18:18,live,0.5591008481984294,0.5160420570797939,
2026_05_SF_SEA,2026,5,2026-10-11,2026-09-21 18:18,live,0.5467570862893733,0.5741318107817963,
2026_05_BUF_LA,2026,5,2026-10-12,2026-09-21 18:18,live,0.47868072058006406,0.4328720919648997,
2026_06_SEA_DEN,2026,6,2026-10-15,2026-09-21 18:18,live,0.4801553390835733,0.4627817775171459,
2026_06_ARI_LA,2026,6,2026-10-18,2026-09-21 18:18,live,0.7292375185536694,0.7104507520653964,
2026_06_BAL_CLE,2026,6,2026-10-18,2026-09-21 18:18,live,0.3457683118652321,0.3543248627788961,
2026_06_BUF_LV,2026,6,2026-10-18,2026-09-21 18:18,live,0.358424039888428,0.3464286000259496,
2026_06_CAR_PHI,2026,6,2026-10-18,2026-09-21 18:18,live,0.6785449139743742,0.691371652917897,
2026_06_CHI_ATL,2026,6,2026-10-18,2026-09-21 18:18,live,0.4576587707829259,0.450744522620245,
2026_06_DAL_GB,2026,6,2026-10-18,2026-09-21 18:18,live,0.5556840938591379,0.573503591997892,
2026_06_HOU_JAX,2026,6,2026-10-18,2026-09-21 18:18,live,0.5398830993128784,0.5157250680264713,
2026_06_LAC_KC,2026,6,2026-10-18,2026-09-21 18:18,live,0.7585022985203737,0.7733266708177939,
2026_06_NO_NYG,2026,6,2026-10-18,2026-09-21 18:18,live,0.61009063307464,0.627741798941856,
2026_06_NYJ_NE,2026,6,2026-10-18,2026-09-21 18:18,live,0.7189876494367285,0.7482223565164492,
2026_06_PIT_TB,2026,6,2026-10-18,2026-09-21 18:18,live,0.5857844773805307,0.6326219477126368,
2026_06_TEN_IND,2026,6,2026-10-18,2026-09-21 18:18,live,0.721861159558982,0.7206618830229573,
2026_06_WAS_SF,2026,6,2026-10-19,2026-09-21 18:18,live,0.7739342672353247,0.7731810875510982,
2026_07_NE_CHI,2026,7,2026-10-22,2026-09-21 18:18,live,0.5172207554770093,0.49089011067926075,
2026_07_CIN_BAL,2026,7,2026-10-25,2026-09-21 18:18,live,0.5618493996410916,0.594034943013406,
2026_07_CLE_TEN,2026,7,2026-10-25,2026-09-21 18:18,live,0.4836985265461333,0.4842903941585147,
2026_07_DEN_ARI,2026,7,2026-10-25,2026-09-21 18:18,live,0.38105443202645245,0.36959410798953707,
2026_07_GB_DET,2026,7,2026-10-25,2026-09-21 18:18,live,0.627446046213037,0.6101381009667629,
2026_07_IND_MIN,2026,7,2026-10-25,2026-09-21 18:18,live,0.6920514960156028,0.6743447280078573,
2026_07_KC_SEA,2026,7,2026-10-25,2026-09-21 18:18,live,0.6297639705616509,0.6454082259470747,
2026_07_LA_LV,2026,7,2026-10-25,2026-09-21 18:18,live,0.4449675785077788,0.4774927317123899,
2026_07_MIA_NYJ,2026,7,2026-10-25,2026-09-21 18:18,live,0.5581761602358934,0.507320785871425,
2026_07_NYG_HOU,2026,7,2026-10-25,2026-09-21 18:18,live,0.6169298536746438,0.6233381173700058,
2026_07_PIT_NO,2026,7,2026-10-25,2026-09-21 18:18,live,0.45980740261391073,0.4736204557850049,
2026_07_SF_ATL,2026,7,2026-10-25,2026-09-21 18:18,live,0.32854891354718696,0.32864250523916616,
2026_07_TB_CAR,2026,7,2026-10-25,2026-09-21 18:18,live,0.5288501985891391,0.5549512855352834,
2026_07_DAL_PHI,2026,7,2026-10-26,2026-09-21 18:18,live,0.5991092881414269,0.6461091100168994,
2026_08_CAR_GB,2026,8,2026-10-29,2026-09-21 18:18,live,0.6702427729357279,0.6490174973979113,
2026_08_ARI_DAL,2026,8,2026-11-01,2026-09-21 18:18,live,0.7156518339892821,0.7039072653311331,
2026_08_ATL_TB,2026,8,2026-11-01,2026-09-21 18:18,live,0.6134079440699909,0.6540191832576896,
2026_08_BAL_BUF,2026,8,2026-11-01,2026-09-21 18:18,live,0.6908242152808624,0.6898062463868623,
2026_08_CLE_PIT,2026,8,2026-11-01,2026-09-21 18:18,live,0.6676226006511811,0.6096374468253605,
2026_08_IND_JAX,2026,8,2026-11-01,2026-09-21 18:18,live,0.6961554025818502,0.6656589331084488,
2026_08_KC_DEN,2026,8,2026-11-01,2026-09-21 18:18,live,0.4963401613642686,0.49505378515303444,
